n,d,p
832,813,8.297700239678523e-71
656,641,1.6604250976035738e-51
480,469,2.8819590310445373e-34
392,383,2.3454670306725554e-65
304,297,9.105581831695444e-21
736,719,5.201423303734132e-60
216,211,4.666724854133471e-30
992,969,2.2165476364915233e-89
560,547,1.0730084751876823e-41
43,42,8.780778211644779e-55
816,797,7.419746580356374e-69
472,461,1.2063117836366735e-83
128,125,2.0171335157127094e-16
976,953,2.3950533001211785e-87
212,207,2.1021553319860372e-72
720,703,3.994652402773557e-58
296,289,9.474062716544877e-45
464,453,1.1175303774739856e-32
800,781,6.480679235564581e-67
42,41,1.1703732569541838e-22
880,859,5.376168881077955e-76
544,531,5.4873430212021715e-40
376,367,1.5829406234865026e-61
960,937,2.5451337476522633e-85
208,203,2.2268864475951923e-16
456,445,1.2498977383523794e-79
704,687,2.97771952505748e-56
124,121,1.975048347912463e-35
784,765,5.523938860021889e-65
288,281,1.2016751403854442e-19
944,921,2.6584179374145662e-83
41,40,4.170022988910875e-51
368,359,8.817702754664426e-25
204,199,1.7141252277081627e-68
448,437,4.048735598479757e-31
122,119,5.202421894917005e-87
528,515,2.6677884572184277e-38
608,593,4.172286527963951e-46
688,671,2.151578597361653e-54
768,749,4.5903564131584484e-63
848,827,4.770785300741589e-72
928,905,2.727726869742151e-81
1008,983,9.416164641319536e-91
40,39,1.0423429697575994e-15
992,967,1.0318343259011216e-88
912,889,2.747756465520737e-79
832,811,4.350693762805996e-70
752,733,3.715001815224915e-61
672,655,1.5048044684714649e-52
592,577,2.4313098693608546e-44
512,499,1.2293534172441185e-36
118,115,5.761293675719885e-83
432,421,1.3640723493447774e-29
196,191,1.2720102356201949e-64
352,343,1.915368294705984e-23
976,951,1.1125034121445128e-86
39,38,1.717112975309023e-47
896,873,2.7156649435007793e-77
272,265,1.3494244440666598e-18
504,491,1.9885447259764896e-90
736,717,2.9248521637963144e-59
116,113,3.1381167852355685e-32
656,639,1.0171606971535668e-50
424,413,1.0620190781222904e-71
192,187,8.284947971086433e-16
880,857,2.6314837333905247e-75
344,335,5.133402629403141e-54
496,483,5.35211960971248e-35
800,779,3.3767727947325196e-66
38,37,3.06394260894049e-20
720,701,2.2375209240299792e-57
416,405,4.25172245676929e-28
944,919,1.2291869067941382e-82
264,257,7.00269381050196e-38
640,623,6.6339950281649285e-49
188,183,8.524473502581855e-61
864,841,2.4982836298952292e-73
488,475,2.3443661716060086e-86
112,109,2.5200344740157054e-16
928,903,1.2581931941824051e-80
408,397,8.607609464024648e-68
704,685,1.6611188833666446e-55
37,36,6.042272577938029e-44
480,467,2.1935783257584832e-33
848,825,2.3220532951018632e-71
184,179,2.6626499476784976e-24
992,965,4.529231474276475e-88
624,607,4.1674818467396167e-47
110,107,5.6740005006577595e-75
256,249,1.2668091965106242e-17
912,887,1.2642675446629784e-78
328,319,2.415753748752991e-50
400,389,1.2189990040970847e-26
472,459,2.5842818296891298e-82
544,529,3.674544759793461e-39
688,669,1.1951431327115956e-53
832,809,2.1112827944352213e-69
976,949,4.872605475073931e-86
36,35,1.2315201208877497e-15
896,871,1.2462687505526673e-76
752,731,1.9156748548812287e-60
608,591,2.5168910400633792e-45
464,451,8.430688004382007e-32
392,381,6.34578702976897e-64
320,311,6.372967540302688e-21
816,793,1.8762856342573986e-67
248,241,1.3941520772198082e-34
672,653,8.321459933220498e-52
106,103,4.992630280601684e-71
176,171,2.222845647665511e-15
456,443,2.6514709517970206e-78
736,715,1.5025462240111825e-58
35,34,1.7865242404665665e-40
944,917,5.358820622809239e-82
384,373,3.194223523074571e-25
244,237,9.996718355580153e-86
592,575,1.4583525822157703e-43
800,777,1.62833193133305e-65
1008,979,1.7297257113817832e-89
104,101,8.414355311426882e-16
864,839,1.1402477548147025e-72
656,637,5.598480418939673e-50
448,435,3.0254441413181506e-30
172,167,2.720375499646851e-53
928,901,5.471937926553079e-80
240,233,9.737548448138417e-17
992,963,1.8873746911569874e-87
376,365,4.222517568469366e-60
512,497,8.113923347662152e-36
784,761,1.3786955181960424e-63
34,33,4.440977952756788e-18
848,823,1.0567492306555144e-70
576,559,8.089333644327664e-42
440,427,2.5192026393439764e-74
304,295,9.550763570325568e-20
236,229,1.0968686488009653e-81
640,621,3.633406707158039e-48
976,947,2.025966057332803e-85
168,163,1.1048629147309932e-21
704,683,8.464871948484442e-55
368,357,7.595003203312087e-24
768,745,1.1377326349833174e-61
100,97,3.3512742851727285e-26
832,807,9.579415897682368e-69
432,419,1.0089530006203109e-28
896,869,5.392306175939325e-76
232,225,2.177015558356085e-31
960,931,2.138286507835323e-83
496,481,3.504558221888387e-34
33,32,4.351490378089887e-37
560,543,4.285301193708325e-40
296,287,3.426941038345888e-43
624,605,2.2707012905419764e-46
164,159,1.2684396395487167e-49
688,667,6.064060066624163e-53
360,349,2.513843393573158e-56
752,729,9.141056540165746e-60
98,95,2.945470196736215e-63
816,791,8.486567156021871e-67
424,411,2.204055487829213e-70
880,853,5.197017996159183e-74
228,221,1.119796426576145e-77
944,915,2.217757940687735e-81
488,473,4.0586011848841446e-85
1008,977,6.896235797169722e-89
