n,d,p
74,65,0.0005792426688551853
304,267,0.0006975115167311469
156,137,0.0008326483119484426
320,281,0.000986530807834025
8,7,0.005768756241231764
320,279,0.0012823311832952265
39,34,0.0010847014396352952
304,265,0.000910046690850977
148,129,0.0007561849231708584
288,251,0.0006211103125699515
70,61,0.0005029961859419028
272,237,0.00040020263554182506
132,115,0.00031128878669972387
256,223,0.0002350297188045537
31,27,0.00017043803955887817
240,209,0.00011679011250415443
116,101,7.365545723051709e-05
224,195,4.0886385274048546e-05
54,47,1.8421293677189045e-05
208,181,5.725426465860787e-06
100,87,8.409729073206432e-07
192,167,1.7767033253253034e-08
23,20,0.0
176,153,0.0
84,73,0.0
160,139,0.0014508842781089304
312,271,0.0012279255663015553
38,33,0.0010303158105540338
296,257,0.0008557180643347384
144,125,0.000701991029990125
280,243,0.0005671962501629545
68,59,0.0004496099524811382
264,229,0.00034773954751717755
128,111,0.0002603447800182304
248,215,0.00018646353340678626
15,13,0.00012544228755196257
232,201,7.695938512256994e-05
112,97,4.094634901127826e-05
216,187,1.7231061083446564e-05
320,277,0.0016335202849234443
52,45,0.0013874606226654284
304,263,0.0011598008384641634
200,173,5.522586169552818e-07
37,32,0.0009623258160521483
96,83,0.0007880138229510106
140,121,0.0006348086952082089
184,159,0.0
272,235,0.0005009370608171558
22,19,0.00038486984447849286
256,221,0.0002853772607982602
168,145,0.0
124,107,0.00020155292669016368
80,69,0.0019631383574495826
312,269,0.0015489121919853468
29,25,7.9059966658241e-05
152,131,0.0012982291881039243
224,193,4.014905339403854e-05
296,255,0.001075607309635311
36,31,0.0008943336006711077
280,241,0.0007052653461600884
208,179,3.7962227717783977e-06
136,117,0.0005535852221048577
50,43,3.370448510602227e-07
264,227,0.0004220914089975319
64,55,0.002350678809113956
78,67,0.001726269750703315
248,213,0.00021527891168365444
92,79,0.0
304,261,0.0014451704848196002
120,103,0.00013872869710666088
148,127,0.001195015309884412
176,151,0.0
232,199,7.985393095674573e-05
288,247,0.0009733165768519181
7,6,0.0008164255300021181
272,233,0.0006068715160035727
216,185,1.3855324765328493e-05
160,137,0.0022655995196481232
132,113,0.0004587618253391939
104,89,0.0019172183495669687
256,219,0.00033244488154603565
76,65,0.0016000312779736886
200,171,1.8951502136803238e-07
62,53,0.00022723258223205815
296,253,0.0013198551575260935
48,41,0.0012140797595897568
280,239,0.0008518981521852902
116,99,7.929871116758158e-05
184,157,0.0
320,273,0.002503355737763999
34,29,0.0006600404734535106
224,191,3.620033025350305e-05
156,133,0.002112412899231624
88,75,0.0004942003940419635
304,259,0.0017620529258218901
27,23,1.1894288470000686e-05
128,109,0.0003533766675975245
74,63,0.0014492868843364636
168,143,0.0
208,177,2.120199301554861e-06
248,211,0.00023704331590658874
288,245,0.0011714885851725981
20,17,0.0038252654200223025
312,265,0.002319736410263835
272,231,0.0007122788825368095
232,197,7.74156171550374e-05
192,163,0.0
152,129,0.001930312653074614
33,28,0.0005277071680249682
112,95,3.3268769766716305e-05
296,251,0.0015823305009486088
46,39,0.0
256,217,0.00037186104481837766
72,61,0.0012830414944788302
320,271,0.0030156461443422854
124,105,0.0002443973870873312
176,149,0.0
280,237,0.001000513463004334
13,11,0.002536756649840533
240,203,0.00014529139501458127
136,115,0.0007627337670230878
304,257,0.00210372778114299
84,71,0.0
200,169,4.4417583133132507e-08
58,49,7.428877793669037e-05
264,223,0.0005585851613795436
148,125,0.0017178744573446243
32,27,0.005080585900867746
312,263,0.0027578583365264154
70,59,0.0010731595306581508
248,209,0.0002490538303857878
108,91,7.99590525701608e-06
184,155,0.0
19,16,0.0022810631310693913
272,229,0.0008105335375995076
120,101,0.0001434850799671672
208,175,9.757062428244786e-07
296,249,0.0018546872760321423
44,37,0.0005861642502592063
320,269,0.0035700439967061796
232,195,7.005985387588999e-05
144,121,0.0014761199164537186
25,21,1.7767033253252998e-08
256,215,0.0003996146313460635
156,131,0.0029861089803395
56,47,0.0011695786290978724
304,255,0.0024609415991424647
31,26,0.0002508560738214148
192,161,0.0
68,57,0.0008548123157853493
216,181,6.245323700819075e-06
37,31,0.001991432357905382
80,67,0.003999406193916081
264,221,0.0006098252852819256
92,77,0.0
288,241,0.0015750519396591977
104,87,0.003219116218525391
116,97,6.491851862822991e-05
128,107,0.00040812821295888106
140,117,0.0012098964693078168
152,127,0.002641857905196673
176,147,0.0
200,167,5.9223444177509955e-09
224,187,2.2544884612273664e-05
248,207,0.0002497393417521425
272,227,0.0008947359499449867
296,247,0.002126685960790702
320,267,0.004155439611264883
6,5,0.00589184878575791
304,253,0.0028221955135963477
280,233,0.001271858997778537
256,213,0.00041271485719812873
232,193,5.908871084200627e-05
208,173,3.5703276347013206e-07
184,153,0.0
160,133,0.004455464839175098
148,123,0.0022589583506766615
136,113,0.0009295282428131695
124,103,0.00024573382755888686
112,93,1.8888577227364627e-05
312,259,0.003688899526826019
100,83,1.480586104437739e-09
288,239,0.0017614372135147487
88,73,0.0006433057788615765
240,199,0.00012696914197216403
76,63,0.003000246726904245
216,179,3.4290374178778364e-06
35,29,0.001328174940993457
64,53,0.005170985094841049
296,245,0.0023867181256285942
29,24,5.2812506345294654e-05
168,139,0.0
272,225,0.0009584959099464944
52,43,0.0039233451544123735
248,205,0.00023896363608404454
144,119,0.0018463175227837606
23,19,0.0
224,185,1.5435110138763565e-05
132,109,0.0006523321720472812
304,251,0.0031742359522346168
40,33,0.006556453271634505
74,61,0.002508419712387695
256,211,0.00040968705861455353
108,89,2.400030075293597e-06
176,145,0.0
312,257,0.0041541026420125705
17,14,0.0009810507885149732
232,191,4.6333461552275036e-05
96,79,0.0019239920309947738
62,51,0.00022964149582397833
152,125,0.0033423461402907924
208,171,9.771868289289143e-08
264,217,0.0006558818772326707
320,263,0.005360309490748135
28,23,0.0014324196772881844
296,243,0.0026225340356546044
240,197,0.00010889118563697904
184,151,0.0
39,32,0.0043796616331658635
128,105,0.00040214273211939075
50,41,0.0
272,223,0.0009967278158475867
72,59,0.001994907293492503
304,249,0.0035027483970872663
116,95,3.988127882143594e-05
160,131,0.005655939598807326
248,203,0.0002180592408754879
11,9,0.0006538634682257958
280,229,0.001454156161887435
192,157,0.0
148,121,0.0027275808794714096
104,85,0.004597736578829672
224,183,9.523129823743627e-06
60,49,9.862702246796431e-05
256,209,0.0003908095857829721
136,111,0.0010051987777318268
288,235,0.0020531687268486552
38,31,0.0036536347683562924
320,261,0.005944560612248109
168,137,0.0
92,75,0.0
200,163,0.0
27,22,1.0327088078453318e-06
232,189,3.3659644498287866e-05
124,101,0.00020457406263626885
264,215,0.0006463175025103032
70,57,0.001479353886652335
296,241,0.0028221614601159446
156,127,0.004806049861672701
16,13,0.013597062641178461
312,253,0.005002616174363118
37,30,0.002904989729922281
280,227,0.0014952646350771496
132,107,0.0006334154636839322
